policy_key,expected_cash_remark1,total_cnt,coefficient_match_cnt,coefficient_mismatch_cnt,coefficient_match_rate,te_flag_1_cnt,te_flag_0_cnt,other_te_flag_cnt,actual_raise_cnt,actual_unchanged_cnt,actual_down_cnt,te_flag_vs_actual_consistency_rate,positive_config_no_raise_cnt,zero_config_actual_raise_cnt,coefficient_consistent,execution_consistent,strategy_consistent,configured_rate_distribution,observation_status,lookup_status
无单期 | 高额度使用率 | 2 | C,0.6,1498,596,902,0.3978638184245661,353,1145,0,353,1145,0,1.0,1145,0,False,True,False,"{""0.3"": 902, ""0.6"": 596}",,
无单期借款 | 低额度使用率 | 3 | A,0.5,34,13,21,0.38235294117647056,18,16,0,18,16,0,1.0,16,0,False,True,False,"{""0.3"": 21, ""0.5"": 13}",,
无单期借款 | 高额度使用率 | 3 | B,0.6,34,9,25,0.2647058823529412,24,10,0,24,10,0,1.0,10,0,False,True,False,"{""0.6"": 9, ""0.8"": 25}",,
有单期借款 | 中额度使用率 | 1 | A,0.5,34,34,0,1.0,32,2,0,32,2,0,1.0,2,0,True,True,True,"{""0.5"": 34}",,
无单期 | 低额度使用率 | 1 | E,0.0,32,13,19,0.40625,3,29,0,3,29,0,1.0,16,0,False,True,False,"{""0"": 13, ""0.1"": 19}",,
有单期借款 | 中额度使用率 | 4 | C,0.4,32,22,10,0.6875,16,16,0,16,16,0,1.0,16,0,False,True,False,"{""0.2"": 10, ""0.4"": 22}",,
无单期 | 低额度使用率 | 3 | B,0.3,31,31,0,1.0,8,23,0,8,23,0,1.0,23,0,True,True,True,"{""0.3"": 31}",,
有单期借款 | 高额度使用率 | 7 | A,0.4,31,5,26,0.16129032258064516,10,21,0,10,21,0,1.0,9,1,False,True,False,"{""0"": 13, ""0.3"": 13, ""0.4"": 5}",,
无单期 | 低额度使用率 | 3 | C,0.2,30,30,0,1.0,10,20,0,10,20,0,1.0,20,0,True,True,True,"{""0.2"": 30}",,
有单期借款 | 高额度使用率 | 5 | A,0.5,30,30,0,1.0,22,8,0,22,8,0,1.0,8,0,True,True,True,"{""0.5"": 30}",,
无单期借款 | 低额度使用率 | 7 | B,0.3,29,3,26,0.10344827586206896,11,18,0,11,18,0,1.0,15,0,False,True,False,"{""0"": 3, ""0.2"": 23, ""0.3"": 3}",,
有单期借款 | 中额度使用率 | 3 | A,0.5,29,15,14,0.5172413793103449,27,2,0,27,2,0,1.0,2,0,False,True,False,"{""0.4"": 14, ""0.5"": 15}",,
有单期借款 | 中额度使用率 | 4 | E,0.0,29,17,12,0.5862068965517241,4,25,0,4,25,0,1.0,8,0,False,True,False,"{""0"": 17, ""0.1"": 12}",,
无单期借款 | 低额度使用率 | 1 | B,0.3,28,7,21,0.25,23,5,0,23,5,0,1.0,5,0,False,True,False,"{""0.2"": 21, ""0.3"": 7}",,
有单期借款 | 中额度使用率 | 4 | B,0.5,28,13,15,0.4642857142857143,15,13,0,15,13,0,1.0,13,0,False,True,False,"{""0.3"": 15, ""0.5"": 13}",,
无单期 | 低额度使用率 | 4 | B,0.3,27,6,21,0.2222222222222222,6,21,0,6,21,0,1.0,21,0,False,True,False,"{""0.2"": 21, ""0.3"": 6}",,
无单期借款 | 高额度使用率 | 4 | B,0.8,27,27,0,1.0,19,8,0,19,8,0,1.0,8,0,True,True,True,"{""0.8"": 27}",,
有单期借款 | 中额度使用率 | 3 | E,0.0,27,13,14,0.48148148148148145,7,20,0,7,20,0,1.0,7,0,False,True,False,"{""0"": 13, ""0.1"": 14}",,
有单期借款 | 中额度使用率 | 7 | A,0.3,27,14,13,0.5185185185185185,2,25,0,2,25,0,1.0,12,0,False,True,False,"{""0"": 13, ""0.3"": 14}",,
有单期借款 | 高额度使用率 | 4 | E,0.0,27,13,14,0.48148148148148145,5,22,0,5,22,0,1.0,9,0,False,True,False,"{""0"": 13, ""0.1"": 14}",,
无单期借款 | 高额度使用率 | 7 | E,0.0,26,11,15,0.4230769230769231,12,14,0,12,14,0,1.0,3,0,False,True,False,"{""0"": 11, ""0.1"": 15}",,
有单期借款 | 中额度使用率 | 2 | E,0.0,26,13,13,0.5,4,22,0,4,22,0,1.0,9,0,False,True,False,"{""0"": 13, ""0.1"": 13}",,
有单期借款 | 中额度使用率 | 7 | E,0.0,26,15,11,0.5769230769230769,3,23,0,3,23,0,1.0,8,0,False,True,False,"{""0"": 15, ""0.1"": 11}",,
有单期借款 | 高额度使用率 | 6 | B,0.6,26,14,12,0.5384615384615384,18,8,0,18,8,0,1.0,8,0,False,True,False,"{""0.3"": 12, ""0.6"": 14}",,
无单期 | 高额度使用率 | 6 | E,0.0,25,10,15,0.4,6,19,0,6,19,0,1.0,9,0,False,True,False,"{""0"": 10, ""0.1"": 15}",,
无单期借款 | 中额度使用率 | 2 | E,0.0,24,6,18,0.25,7,17,0,7,17,0,1.0,11,0,False,True,False,"{""0"": 6, ""0.2"": 18}",,
有单期借款 | 中额度使用率 | 2 | A,0.5,24,24,0,1.0,18,6,0,18,6,0,1.0,6,0,True,True,True,"{""0.5"": 24}",,
有单期借款 | 高额度使用率 | 6 | E,0.0,24,9,15,0.375,9,15,0,9,15,0,1.0,6,0,False,True,False,"{""0"": 9, ""0.1"": 15}",,
无单期借款 | 中额度使用率 | 3 | A,0.8,23,23,0,1.0,18,5,0,18,5,0,1.0,5,0,True,True,True,"{""0.8"": 23}",,
有单期借款 | 中额度使用率 | 3 | B,0.5,23,7,16,0.30434782608695654,18,5,0,18,5,0,1.0,5,0,False,True,False,"{""0.3"": 16, ""0.5"": 7}",,
有单期借款 | 中额度使用率 | 5 | D,0.0,23,10,13,0.43478260869565216,7,16,0,7,16,0,1.0,6,0,False,True,False,"{""0"": 10, ""0.2"": 13}",,
无单期 | 低额度使用率 | 3 | D,0.0,22,2,20,0.09090909090909091,6,16,0,6,16,0,1.0,14,0,False,True,False,"{""0"": 2, ""0.1"": 20}",,
无单期借款 | 中额度使用率 | 1 | D,0.0,22,7,15,0.3181818181818182,17,5,0,17,5,0,1.0,2,4,False,True,False,"{""0"": 7, ""0.3"": 15}",,
有单期借款 | 中额度使用率 | 5 | C,0.4,22,8,14,0.36363636363636365,6,16,0,6,16,0,1.0,16,0,False,True,False,"{""0.3"": 14, ""0.4"": 8}",,
有单期借款 | 中额度使用率 | 6 | D,0.0,22,14,8,0.6363636363636364,5,17,0,5,17,0,1.0,3,0,False,True,False,"{""0"": 14, ""0.1"": 8}",,
无单期 | 低额度使用率 | 1 | D,0.0,21,8,13,0.38095238095238093,5,16,0,5,16,0,1.0,8,0,False,True,False,"{""0"": 8, ""0.1"": 13}",,
无单期 | 低额度使用率 | 4 | D,0.0,21,4,17,0.19047619047619047,6,15,0,6,15,0,1.0,11,0,False,True,False,"{""0"": 4, ""0.1"": 17}",,
无单期 | 低额度使用率 | 7 | A,0.3,21,14,7,0.6666666666666666,3,18,0,3,18,0,1.0,11,0,False,True,False,"{""0"": 7, ""0.3"": 14}",,
无单期借款 | 低额度使用率 | 3 | C,0.2,21,7,14,0.3333333333333333,10,11,0,10,11,0,1.0,11,0,False,True,False,"{""0.1"": 14, ""0.2"": 7}",,
无单期借款 | 高额度使用率 | 5 | B,0.8,21,21,0,1.0,13,8,0,13,8,0,1.0,8,0,True,True,True,"{""0.8"": 21}",,
无单期借款 | 高额度使用率 | 6 | C,0.6,21,21,0,1.0,11,10,0,11,10,0,1.0,10,0,True,True,True,"{""0.6"": 21}",,
有单期借款 | 高额度使用率 | 5 | E,0.0,21,10,11,0.47619047619047616,9,12,0,9,12,0,1.0,2,0,False,True,False,"{""0"": 10, ""0.1"": 11}",,
无单期借款 | 中额度使用率 | 4 | A,0.8,20,20,0,1.0,14,6,0,14,6,0,1.0,6,0,True,True,True,"{""0.8"": 20}",,
无单期借款 | 低额度使用率 | 1 | A,0.4,20,5,15,0.25,19,1,0,19,1,0,1.0,1,0,False,True,False,"{""0.3"": 15, ""0.4"": 5}",,
无单期 | 低额度使用率 | 5 | B,0.3,19,19,0,1.0,10,9,0,10,9,0,1.0,9,0,True,True,True,"{""0.3"": 19}",,
无单期 | 低额度使用率 | 7 | B,0.3,19,3,16,0.15789473684210525,5,14,0,5,14,0,1.0,12,0,False,True,False,"{""0"": 2, ""0.2"": 14, ""0.3"": 3}",,
无单期 | 低额度使用率 | 7 | D,0.2,19,13,6,0.6842105263157895,3,16,0,3,16,0,1.0,10,0,False,True,False,"{""0"": 6, ""0.2"": 13}",,
无单期借款 | 高额度使用率 | 4 | E,0.0,19,7,12,0.3684210526315789,4,15,0,4,15,0,1.0,8,0,False,True,False,"{""0"": 7, ""0.2"": 12}",,
无单期 | 中额度使用率 | 4 | D,0.0,18,3,15,0.16666666666666666,8,10,0,8,10,0,1.0,7,0,False,True,False,"{""0"": 3, ""0.3"": 15}",,
无单期 | 低额度使用率 | 2 | D,0.0,18,5,13,0.2777777777777778,5,13,0,5,13,0,1.0,8,0,False,True,False,"{""0"": 5, ""0.1"": 13}",,
无单期借款 | 低额度使用率 | 4 | B,0.3,18,2,16,0.1111111111111111,9,9,0,9,9,0,1.0,9,0,False,True,False,"{""0.2"": 16, ""0.3"": 2}",,
无单期借款 | 低额度使用率 | 4 | D,0.0,18,3,15,0.16666666666666666,6,12,0,6,12,0,1.0,9,0,False,True,False,"{""0"": 3, ""0.1"": 15}",,
无单期借款 | 高额度使用率 | 5 | C,0.6,18,18,0,1.0,12,6,0,12,6,0,1.0,6,0,True,True,True,"{""0.6"": 18}",,
有单期借款 | 中额度使用率 | 5 | A,0.5,18,10,8,0.5555555555555556,15,3,0,15,3,0,1.0,3,0,False,True,False,"{""0.4"": 8, ""0.5"": 10}",,
无单期 | 低额度使用率 | 1 | C,0.2,17,4,13,0.23529411764705882,7,10,0,7,10,0,1.0,10,0,False,True,False,"{""0.1"": 13, ""0.2"": 4}",,
无单期 | 低额度使用率 | 4 | A,0.5,17,17,0,1.0,7,10,0,7,10,0,1.0,10,0,True,True,True,"{""0.5"": 17}",,
无单期借款 | 低额度使用率 | 2 | B,0.3,17,6,11,0.35294117647058826,8,9,0,8,9,0,1.0,9,0,False,True,False,"{""0.2"": 11, ""0.3"": 6}",,
无单期借款 | 低额度使用率 | 5 | D,0.0,17,4,13,0.23529411764705882,3,14,0,3,14,0,1.0,10,0,False,True,False,"{""0"": 4, ""0.1"": 13}",,
无单期借款 | 高额度使用率 | 7 | B,0.5,17,1,16,0.058823529411764705,9,8,0,9,8,0,1.0,2,0,False,True,False,"{""0"": 6, ""0.4"": 10, ""0.5"": 1}",,
有单期借款 | 中额度使用率 | 5 | E,0.0,17,11,6,0.6470588235294118,0,17,0,0,17,0,1.0,6,0,False,True,False,"{""0"": 11, ""0.1"": 6}",,
有单期借款 | 高额度使用率 | 4 | A,0.5,17,17,0,1.0,13,4,0,13,4,0,1.0,4,0,True,True,True,"{""0.5"": 17}",,
无单期 | 中额度使用率 | 4 | B,1.0,16,7,9,0.4375,11,5,0,11,5,0,1.0,5,0,False,True,False,"{""0.6"": 9, ""1"": 7}",,
无单期借款 | 低额度使用率 | 3 | B,0.4,16,7,9,0.4375,11,5,0,11,5,0,1.0,5,0,False,True,False,"{""0.2"": 9, ""0.4"": 7}",,
无单期借款 | 低额度使用率 | 4 | A,0.5,16,4,12,0.25,8,8,0,8,8,0,1.0,8,0,False,True,False,"{""0.3"": 12, ""0.5"": 4}",,
有单期借款 | 中额度使用率 | 5 | B,0.5,16,9,7,0.5625,10,6,0,10,6,0,1.0,6,0,False,True,False,"{""0.3"": 7, ""0.5"": 9}",,
有单期借款 | 中额度使用率 | 7 | B,0.3,16,3,13,0.1875,5,11,0,5,11,0,1.0,2,0,False,True,False,"{""0"": 9, ""0.2"": 4, ""0.3"": 3}",,
无单期 | 低额度使用率 | 5 | C,0.2,15,15,0,1.0,7,8,0,7,8,0,1.0,8,0,True,True,True,"{""0.2"": 15}",,
无单期借款 | 中额度使用率 | 7 | A,0.3,15,4,11,0.26666666666666666,5,10,0,5,10,0,1.0,4,0,False,True,False,"{""0"": 6, ""0.3"": 4, ""0.5"": 5}",,
无单期借款 | 高额度使用率 | 6 | B,0.8,15,15,0,1.0,10,5,0,10,5,0,1.0,5,0,True,True,True,"{""0.8"": 15}",,
无单期 | 中额度使用率 | 6 | B,0.8,14,3,11,0.21428571428571427,7,7,0,7,7,0,1.0,7,0,False,True,False,"{""0.6"": 11, ""0.8"": 3}",,
无单期 | 低额度使用率 | 6 | D,0.1,14,2,12,0.14285714285714285,4,10,0,4,10,0,1.0,10,0,False,True,False,"{""0.1"": 2, ""0.2"": 12}",,
无单期借款 | 中额度使用率 | 1 | A,0.8,14,14,0,1.0,12,2,0,12,2,0,1.0,2,0,True,True,True,"{""0.8"": 14}",,
无单期借款 | 中额度使用率 | 2 | A,0.8,14,14,0,1.0,11,3,0,11,3,0,1.0,3,0,True,True,True,"{""0.8"": 14}",,
有单期借款 | 中额度使用率 | 6 | E,0.0,14,8,6,0.5714285714285714,4,10,0,4,10,0,1.0,2,0,False,True,False,"{""0"": 8, ""0.1"": 6}",,
无单期 | 中额度使用率 | 5 | B,1.0,13,8,5,0.6153846153846154,6,7,0,6,7,0,1.0,7,0,False,True,False,"{""0.6"": 5, ""1"": 8}",,
无单期 | 中额度使用率 | 6 | D,0.3,13,13,0,1.0,4,9,0,4,9,0,1.0,9,0,True,True,True,"{""0.3"": 13}",,
无单期借款 | 中额度使用率 | 3 | C,0.6,13,13,0,1.0,5,8,0,5,8,0,1.0,8,0,True,True,True,"{""0.6"": 13}",,
无单期借款 | 低额度使用率 | 6 | B,0.4,13,4,9,0.3076923076923077,6,7,0,6,7,0,1.0,7,0,False,True,False,"{""0.2"": 9, ""0.4"": 4}",,
无单期 | 中额度使用率 | 4 | A,0.8,12,12,0,1.0,8,4,0,8,4,0,1.0,4,0,True,True,True,"{""0.8"": 12}",,
无单期 | 中额度使用率 | 7 | B,0.5,12,2,10,0.16666666666666666,2,10,0,2,10,0,1.0,5,0,False,True,False,"{""0"": 5, ""0.5"": 2, ""0.6"": 5}",,
无单期 | 低额度使用率 | 3 | A,0.5,12,12,0,1.0,8,4,0,8,4,0,1.0,4,0,True,True,True,"{""0.5"": 12}",,
无单期借款 | 中额度使用率 | 1 | C,0.6,12,12,0,1.0,10,2,0,10,2,0,1.0,2,0,True,True,True,"{""0.6"": 12}",,
无单期借款 | 中额度使用率 | 5 | A,0.8,12,12,0,1.0,9,3,0,9,3,0,1.0,3,0,True,True,True,"{""0.8"": 12}",,
无单期 | 中额度使用率 | 4 | E,0.0,11,4,7,0.36363636363636365,1,10,0,1,10,0,1.0,6,0,False,True,False,"{""0"": 4, ""0.2"": 7}",,
无单期 | 中额度使用率 | 5 | D,0.0,11,3,8,0.2727272727272727,1,10,0,1,10,0,1.0,7,0,False,True,False,"{""0"": 3, ""0.3"": 8}",,
无单期 | 中额度使用率 | 7 | E,0.0,11,4,7,0.36363636363636365,2,9,0,2,9,0,1.0,5,0,False,True,False,"{""0"": 4, ""0.2"": 7}",,
无单期 | 低额度使用率 | 2 | E,0.0,11,1,10,0.09090909090909091,3,8,0,3,8,0,1.0,7,0,False,True,False,"{""0"": 1, ""0.1"": 10}",,
无单期 | 低额度使用率 | 6 | B,0.3,10,1,9,0.1,4,6,0,4,6,0,1.0,6,0,False,True,False,"{""0.2"": 9, ""0.3"": 1}",,
无单期借款 | 低额度使用率 | 2 | A,0.5,10,3,7,0.3,7,3,0,7,3,0,1.0,3,0,False,True,False,"{""0.3"": 7, ""0.5"": 3}",,
无单期借款 | 低额度使用率 | 4 | C,0.2,10,3,7,0.3,4,6,0,4,6,0,1.0,6,0,False,True,False,"{""0.1"": 7, ""0.2"": 3}",,
无单期借款 | 低额度使用率 | 5 | E,0.0,10,1,9,0.1,1,9,0,1,9,0,1.0,8,0,False,True,False,"{""0"": 1, ""0.1"": 9}",,
无单期借款 | 低额度使用率 | 6 | A,0.5,10,3,7,0.3,4,6,0,4,6,0,1.0,6,0,False,True,False,"{""0.3"": 7, ""0.5"": 3}",,
无单期借款 | 高额度使用率 | 3 | A,1.0,10,10,0,1.0,8,2,0,8,2,0,1.0,2,0,True,True,True,"{""1"": 10}",,
有单期借款 | 中额度使用率 | 6 | C,0.5,10,6,4,0.6,5,5,0,5,5,0,1.0,5,0,False,True,False,"{""0.3"": 4, ""0.5"": 6}",,
有单期借款 | 高额度使用率 | 6 | A,0.5,10,5,5,0.5,8,2,0,8,2,0,1.0,2,0,False,True,False,"{""0.4"": 5, ""0.5"": 5}",,
无单期 | 中额度使用率 | 7 | D,0.2,9,0,9,0.0,3,6,0,3,6,0,1.0,4,0,False,True,False,"{""0"": 2, ""0.3"": 7}",,
无单期借款 | 高额度使用率 | 7 | A,0.5,9,5,4,0.5555555555555556,1,8,0,1,8,0,1.0,4,0,False,True,False,"{""0"": 4, ""0.5"": 5}",,
无单期 | 中额度使用率 | 6 | A,0.6,8,3,5,0.375,6,2,0,6,2,0,1.0,2,0,False,True,False,"{""0.6"": 3, ""0.8"": 5}",,
无单期借款 | 中额度使用率 | 4 | C,0.6,8,8,0,1.0,4,4,0,4,4,0,1.0,4,0,True,True,True,"{""0.6"": 8}",,
无单期借款 | 中额度使用率 | 7 | D,0.2,8,6,2,0.75,4,4,0,4,4,0,1.0,2,0,False,True,False,"{""0"": 2, ""0.2"": 6}",,
无单期借款 | 低额度使用率 | 7 | D,0.2,8,0,8,0.0,3,5,0,3,5,0,1.0,5,0,False,True,False,"{""0.1"": 8}",,
无单期借款 | 低额度使用率 | 7 | E,0.0,8,1,7,0.125,4,4,0,4,4,0,1.0,3,0,False,True,False,"{""0"": 1, ""0.1"": 7}",,
无单期借款 | 高额度使用率 | 4 | A,1.0,8,8,0,1.0,8,0,0,8,0,0,1.0,0,0,True,True,True,"{""1"": 8}",,
无单期借款 | 高额度使用率 | 6 | D,0.0,8,4,4,0.5,1,7,0,1,7,0,1.0,3,0,False,True,False,"{""0"": 4, ""0.3"": 4}",,
无单期 | 中额度使用率 | 6 | E,0.0,7,2,5,0.2857142857142857,2,5,0,2,5,0,1.0,3,0,False,True,False,"{""0"": 2, ""0.2"": 5}",,
无单期借款 | 低额度使用率 | 5 | A,0.5,7,4,3,0.5714285714285714,3,4,0,3,4,0,1.0,4,0,False,True,False,"{""0.3"": 3, ""0.5"": 4}",,
有单期借款 | 中额度使用率 | 4 | A,0.5,7,1,6,0.14285714285714285,4,3,0,4,3,0,1.0,3,0,False,True,False,"{""0.4"": 6, ""0.5"": 1}",,
无单期 | 中额度使用率 | 5 | A,1.0,6,3,3,0.5,4,2,0,4,2,0,1.0,2,0,False,True,False,"{""0.8"": 3, ""1"": 3}",,
无单期 | 中额度使用率 | 5 | E,0.0,6,3,3,0.5,2,4,0,2,4,0,1.0,1,0,False,True,False,"{""0"": 3, ""0.2"": 3}",,
无单期 | 中额度使用率 | 6 | C,0.6,6,4,2,0.6666666666666666,1,5,0,1,5,0,1.0,5,0,False,True,False,"{""0.5"": 2, ""0.6"": 4}",,
无单期 | 低额度使用率 | 4 | C,0.2,6,1,5,0.16666666666666666,1,5,0,1,5,0,1.0,5,0,False,True,False,"{""0.2"": 1, ""0.3"": 5}",,
无单期 | 低额度使用率 | 5 | A,0.5,6,2,4,0.3333333333333333,2,4,0,2,4,0,1.0,4,0,False,True,False,"{""0.4"": 4, ""0.5"": 2}",,
无单期借款 | 低额度使用率 | 1 | C,0.2,6,0,6,0.0,4,2,0,4,2,0,1.0,2,0,False,True,False,"{""0.1"": 6}",,
无单期借款 | 低额度使用率 | 3 | D,0.0,6,1,5,0.16666666666666666,4,2,0,4,2,0,1.0,1,0,False,True,False,"{""0"": 1, ""0.1"": 5}",,
无单期借款 | 低额度使用率 | 6 | C,0.2,6,3,3,0.5,2,4,0,2,4,0,1.0,4,0,False,True,False,"{""0.1"": 3, ""0.2"": 3}",,
有单期借款 | 中额度使用率 | 6 | A,0.5,6,4,2,0.6666666666666666,4,2,0,4,2,0,1.0,2,0,False,True,False,"{""0.4"": 2, ""0.5"": 4}",,
有单期借款 | 中额度使用率 | 6 | B,0.5,6,3,3,0.5,3,3,0,3,3,0,1.0,3,0,False,True,False,"{""0.3"": 3, ""0.5"": 3}",,
无单期 | 低额度使用率 | 3 | E,0.0,5,2,3,0.4,2,3,0,2,3,0,1.0,1,0,False,True,False,"{""0"": 2, ""0.1"": 3}",,
无单期借款 | 低额度使用率 | 7 | C,0.2,5,0,5,0.0,3,2,0,3,2,0,1.0,2,0,False,True,False,"{""0.1"": 5}",,
无单期 | 中额度使用率 | 7 | C,0.5,4,4,0,1.0,1,3,0,1,3,0,1.0,3,0,True,True,True,"{""0.5"": 4}",,
无单期 | 低额度使用率 | 5 | D,0.0,4,1,3,0.25,1,3,0,1,3,0,1.0,2,0,False,True,False,"{""0"": 1, ""0.1"": 3}",,
无单期 | 低额度使用率 | 5 | E,0.0,4,0,4,0.0,2,2,0,2,2,0,1.0,2,0,False,True,False,"{""0.1"": 4}",,
无单期 | 低额度使用率 | 6 | A,0.4,4,3,1,0.75,2,2,0,2,2,0,1.0,2,0,False,True,False,"{""0.3"": 1, ""0.4"": 3}",,
无单期 | 低额度使用率 | 7 | C,0.2,4,3,1,0.75,1,3,0,1,3,0,1.0,2,0,False,True,False,"{""0"": 1, ""0.2"": 3}",,
无单期借款 | 中额度使用率 | 1 | B,0.6,4,4,0,1.0,4,0,0,4,0,0,1.0,0,0,True,True,True,"{""0.6"": 4}",,
无单期借款 | 中额度使用率 | 2 | B,0.6,4,4,0,1.0,1,3,0,1,3,0,1.0,3,0,True,True,True,"{""0.6"": 4}",,
无单期借款 | 中额度使用率 | 2 | C,0.6,4,4,0,1.0,4,0,0,4,0,0,1.0,0,0,True,True,True,"{""0.6"": 4}",,
无单期借款 | 中额度使用率 | 7 | B,0.4,4,4,0,1.0,2,2,0,2,2,0,1.0,2,0,True,True,True,"{""0.4"": 4}",,
无单期借款 | 中额度使用率 | 7 | E,0.0,4,2,2,0.5,2,2,0,2,2,0,1.0,0,0,False,True,False,"{""0"": 2, ""0.1"": 2}",,
无单期借款 | 低额度使用率 | 1 | D,0.0,4,1,3,0.25,2,2,0,2,2,0,1.0,1,0,False,True,False,"{""0"": 1, ""0.1"": 3}",,
无单期借款 | 高额度使用率 | 5 | E,0.0,4,1,3,0.25,2,2,0,2,2,0,1.0,1,0,False,True,False,"{""0"": 1, ""0.2"": 3}",,
无单期借款 | 高额度使用率 | 6 | A,0.5,4,3,1,0.75,4,0,0,4,0,0,1.0,0,0,False,True,False,"{""0.5"": 3, ""0.8"": 1}",,
无单期 | 低额度使用率 | 7 | E,0.0,3,0,3,0.0,2,1,0,2,1,0,1.0,1,0,False,True,False,"{""0.2"": 3}",,
无单期借款 | 中额度使用率 | 5 | E,0.0,3,1,2,0.3333333333333333,2,1,0,2,1,0,1.0,0,0,False,True,False,"{""0"": 1, ""0.2"": 2}",,
无单期借款 | 中额度使用率 | 6 | D,0.0,3,0,3,0.0,2,1,0,2,1,0,1.0,1,0,False,True,False,"{""0.3"": 3}",,
无单期借款 | 低额度使用率 | 5 | C,0.2,3,1,2,0.3333333333333333,1,2,0,1,2,0,1.0,2,0,False,True,False,"{""0.1"": 2, ""0.2"": 1}",,
无单期借款 | 高额度使用率 | 5 | A,1.0,3,3,0,1.0,2,1,0,2,1,0,1.0,1,0,True,True,True,"{""1"": 3}",,
无单期 | 低额度使用率 | 6 | E,0.0,2,0,2,0.0,1,1,0,1,1,0,1.0,1,0,False,True,False,"{""0.1"": 2}",,
无单期借款 | 中额度使用率 | 3 | B,0.6,2,2,0,1.0,1,1,0,1,1,0,1.0,1,0,True,True,True,"{""0.6"": 2}",,
无单期借款 | 中额度使用率 | 3 | D,0.0,2,0,2,0.0,1,1,0,1,1,0,1.0,1,0,False,True,False,"{""0.3"": 2}",,
无单期借款 | 中额度使用率 | 3 | E,0.0,2,1,1,0.5,1,1,0,1,1,0,1.0,0,0,False,True,False,"{""0"": 1, ""0.2"": 1}",,
无单期借款 | 中额度使用率 | 5 | B,0.6,2,2,0,1.0,2,0,0,2,0,0,1.0,0,0,True,True,True,"{""0.6"": 2}",,
无单期借款 | 中额度使用率 | 5 | D,0.0,2,0,2,0.0,2,0,0,2,0,0,1.0,0,0,False,True,False,"{""0.3"": 2}",,
无单期借款 | 中额度使用率 | 6 | B,0.6,2,2,0,1.0,1,1,0,1,1,0,1.0,1,0,True,True,True,"{""0.6"": 2}",,
无单期借款 | 中额度使用率 | 7 | C,0.3,2,2,0,1.0,1,1,0,1,1,0,1.0,1,0,True,True,True,"{""0.3"": 2}",,
无单期借款 | 低额度使用率 | 2 | E,0.0,2,2,0,1.0,0,2,0,0,2,0,1.0,0,0,True,True,True,"{""0"": 2}",,
无单期借款 | 低额度使用率 | 5 | B,0.4,2,0,2,0.0,1,1,0,1,1,0,1.0,1,0,False,True,False,"{""0.2"": 2}",,
无单期借款 | 低额度使用率 | 6 | E,0.0,2,0,2,0.0,2,0,0,2,0,0,1.0,0,0,False,True,False,"{""0.1"": 2}",,
无单期 | 低额度使用率 | 4 | E,0.0,1,0,1,0.0,0,1,0,0,1,0,1.0,1,0,False,True,False,"{""0.1"": 1}",,
无单期 | 低额度使用率 | 6 | C,0.2,1,1,0,1.0,1,0,0,1,0,0,1.0,0,0,True,True,True,"{""0.2"": 1}",,
无单期借款 | 中额度使用率 | 4 | D,0.0,1,0,1,0.0,1,0,0,1,0,0,1.0,0,0,False,True,False,"{""0.3"": 1}",,
无单期借款 | 中额度使用率 | 4 | E,0.0,1,0,1,0.0,1,0,0,1,0,0,1.0,0,0,False,True,False,"{""0.2"": 1}",,
无单期借款 | 中额度使用率 | 6 | A,0.8,1,1,0,1.0,1,0,0,1,0,0,1.0,0,0,True,True,True,"{""0.8"": 1}",,
无单期借款 | 中额度使用率 | 6 | E,0.0,1,1,0,1.0,0,1,0,0,1,0,1.0,0,0,True,True,True,"{""0"": 1}",,
无单期借款 | 低额度使用率 | 3 | E,0.0,1,0,1,0.0,0,1,0,0,1,0,1.0,1,0,False,True,False,"{""0.1"": 1}",,
无单期借款 | 低额度使用率 | 6 | D,0.0,1,0,1,0.0,0,1,0,0,1,0,1.0,1,0,False,True,False,"{""0.1"": 1}",,
无单期借款 | 高额度使用率 | 6 | E,0.0,1,0,1,0.0,0,1,0,0,1,0,1.0,1,0,False,True,False,"{""0.2"": 1}",,
未映射策略格,,1,0,0,0.0,0,1,0,0,1,0,1.0,0,0,False,True,False,"{""0"": 1}",,unsupported_or_missing_policy_cell
无单期借款 | 中额度使用率 | 4 | B,0.6,0,0,0,,0,0,0,0,0,0,,0,0,,,,{},no_customer_in_batch,
无单期借款 | 中额度使用率 | 5 | C,0.6,0,0,0,,0,0,0,0,0,0,,0,0,,,,{},no_customer_in_batch,
无单期借款 | 中额度使用率 | 6 | C,0.6,0,0,0,,0,0,0,0,0,0,,0,0,,,,{},no_customer_in_batch,
无单期借款 | 低额度使用率 | 4 | E,0.0,0,0,0,,0,0,0,0,0,0,,0,0,,,,{},no_customer_in_batch,
