excel_row,model,variable_name,output_name,source_alias,source_table,source_cell,online_name,中文名,一级分类,二级分类
113,loancntall,press_over_quota_180d_all,press_over_quota_180d_all,t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,,近180天：all压力/额度,账户状态,额度使用与账户余额特征
114,loancntall,last1_od_days_79,last1_od_days_79,t8,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,$.last1_od_days_79,产品79: 最近第1笔贷款最大逾期天数（7+9合并）,逾期催收,逾期表现特征
115,loancntall,coupon_amt,coupon_amt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.coupon_amt,历史券抵扣金额,交易行为,支付交易行为特征
116,loancntall,payee_recent_360_txn_share_7d_v2,payee_recent_360_txn_share_7d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payee_recent_360_txn_share_7d_v2,收款方: 近7天笔数 / 近360天笔数,交易行为,支付交易行为特征
117,loancntall,ratio_balance_cashbox_all,ratio_balance_cashbox_all,t11,pb_biz_credit.ng_pp_user_financial_feature_profile_di,pb_biz_credit.ng_pp_user_financial_feature_profile_di,,Cashbox资产占理财总资产比重,授信申请,收入与财务画像特征
118,loancntall,ng_pp_regular_trans_order_cnt_60d_off,ng_pp_regular_trans_order_cnt_60d_off,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_pp_regular_trans_order_cnt_60d_off,近60天转账/话费/流量/betting交易总次数,交易行为,支付交易行为特征
119,loancntall,okcard_last3_max_overdue_days,okcard_last3_max_overdue_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.okcard_last3_max_overdue_days,Okcard近3笔账单最大逾期天数,逾期催收,逾期表现特征
120,loancntall,user_recent_overdue_day,user_recent_overdue_day,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.user_recent_overdue_day,客户flexi最近一个账期逾期天数,逾期催收,逾期表现特征
121,loancntall,payee_recent_180_payer_share_30d_v2,payee_recent_180_payer_share_30d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,收款方: 近30天人数 / 近180天人数,交易行为,支付交易行为特征
122,loancntall,pp_trans_amt_3d,pp_trans_amt_3d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pp_trans_amt_3d,PP近3天交易总金额,交易行为,支付交易行为特征
123,loancntall,ng_applist_small_1000_b_ratio10_90_days_update_sum_rt,ng_applist_small_1000_b_ratio10_90_days_update_sum_rt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_applist_small_1000_b_ratio10_90_days_update_sum_rt,近90天更新的低逾期app的pd10的总和,逾期催收,逾期表现特征
124,loancntall,app55_install_days,app55_install_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.app55_install_days,com.facebook.lite安装时长,授信申请,移动设备与APP画像特征
125,loancntall,inst_cnt_30d,inst_cnt_30d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.inst_cnt_30d,近30天涉及机构数（app_id去重）,外部数据,多头查询与多证件关联特征
126,loancntall,press_180d_t7,press_180d_t7,t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,$.press_180d_t7,近180天：t7单位还款压力,账户状态,额度使用与账户余额特征
127,loancntall,payer_repay_cnt_30d,payer_repay_cnt_30d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.payer_repay_cnt_30d,"类别: 过去30天 [T-31, T-2] 还款(j7,g7)笔数",交易行为,支付交易行为特征
128,loancntall,press_30d_t9,press_30d_t9,t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,,近30天：t9单位还款压力,账户状态,额度使用与账户余额特征
129,loancntall,payee_low_mcht_amt_share_360d_v2,payee_low_mcht_amt_share_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payee_low_mcht_amt_share_360d_v2,收款方: 近360天低质商户金额占比,交易行为,支付交易行为特征
130,loancntall,databundle_amt_3m,databundle_amt_3m,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.databundle_amt_3m,近3个月购买手机流量金额,交易行为,支付交易行为特征
131,loancntall,days_since_last_apply_type9,days_since_last_apply_type9,t7,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,,最近一次申请产品类型9距今天数,授信申请,申请行为特征
132,loancntall,fail_txn_ratio_90d_v2,fail_txn_ratio_90d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,近90天失败率(失败/总尝试),交易行为,支付交易行为特征
133,loancntall,ng_applist_pkgname_last_30_day_pd3_worst5_cnt,ng_applist_pkgname_last_30_day_pd3_worst5_cnt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_applist_pkgname_last_30_day_pd3_worst5_cnt,app_package_name击中近30天pd3表现最差的5个package_name的数量,授信申请,移动设备与APP画像特征
134,loancntall,payee_fail_rate_360d_v2,payee_fail_rate_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,收款方: 近360天交易失败率((2+7)/(1+2+7)),交易行为,支付交易行为特征
135,loancntall,payer_unique_payee_count_180d_v2,payer_unique_payee_count_180d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,"付款方: 过去180天 [T-181, T-2] 独立收款人数",交易行为,支付交易行为特征
136,loancntall,payee_avg_txn_per_payer_360d_v2,payee_avg_txn_per_payer_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payee_avg_txn_per_payer_360d_v2,"收款方: 过去360天 [T-361, T-2] 平均每人收款笔数",交易行为,支付交易行为特征
137,loancntall,payee_high_mcht_amt_share_360d_v2,payee_high_mcht_amt_share_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,收款方: 近360天高等级商户金额占比,交易行为,支付交易行为特征
138,loancntall,press_180d_t9,press_180d_t9,t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,,近180天：t9单位还款压力,账户状态,额度使用与账户余额特征
139,loancntall,sum_balance_cashbox,sum_balance_cashbox,t11,pb_biz_credit.ng_pp_user_financial_feature_profile_di,pb_biz_credit.ng_pp_user_financial_feature_profile_di,$.sum_balance_cashbox,cashbox账户可用余额,授信申请,收入与财务画像特征
140,loancntall,transfer_fail_ratio_360d_v2,transfer_fail_ratio_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.transfer_fail_ratio_360d_v2,近360天转账(03)失败率,交易行为,支付交易行为特征
141,loancntall,days_since_first_apply_all,days_since_first_apply_all,t7,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,,最早一次申请(任意)距今天数,授信申请,申请行为特征
142,loancntall,payee_amount_cv_360d_v2,payee_amount_cv_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payee_amount_cv_360d_v2,"收款方: 过去360天 [T-361, T-2] 收款金额变异系数 (std/mean)",交易行为,支付交易行为特征
143,loancntall,top1_inst_query_ratio_180d,top1_inst_query_ratio_180d,t9,pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final,"pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final, pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature",$.top1_inst_query_ratio_180d,近180天Top1机构查询占比,外部数据,多头查询与多证件关联特征
143,loancntall,top1_inst_query_ratio_180d,top1_inst_query_ratio_180d_v1,t10,pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature,"pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final, pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature",$.top1_inst_query_ratio_180d,近180天Top1机构查询占比,外部数据,多头查询与多证件关联特征
144,loancntall,payee_unique_hours_active_7d_v2,payee_unique_hours_active_7d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payee_unique_hours_active_7d_v2,"收款方: 过去7天 [T-8, T-2] 活跃小时数",交易行为,支付交易行为特征
145,loancntall,credit_day,credit_day,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.credit_day,主动授信距今天数,账户状态,授信额度特征
146,loancntall,nibssfund_cnt_7d,nibssfund_cnt_7d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.nibssfund_cnt_7d,近7天nip充值次数,交易行为,支付交易行为特征
147,loancntall,repay_ratio_due_60d_t79,repay_ratio_due_60d_t79,t2,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,$.repay_ratio_due_60d_t79,79类账户：近60天每期平均还款笔数(还款笔数/应还期数),还款履约,实际还款行为特征
148,loancntall,sdcard_used_capacity_rate,sdcard_used_capacity_rate,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.sdcard_used_capacity_rate,非锁.设备信息.SIM卡空间使用率,账户状态,额度使用与账户余额特征
149,loancntall,pp_kyc_profession,pp_kyc_profession,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pp_kyc_profession,pp kyc职业,授信申请,申请行为特征
150,loancntall,payer_recent_180_amount_share_90d_v2,payer_recent_180_amount_share_90d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,付款方: 近90天金额 / 近180天金额,交易行为,支付交易行为特征
151,loancntall,total_balance_pay_amt_rate,total_balance_pay_amt_rate,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.total_balance_pay_amt_rate,个人平均支付余额,账户状态,额度使用与账户余额特征
152,loancntall,payee_recent_360_payer_share_7d_v2,payee_recent_360_payer_share_7d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payee_recent_360_payer_share_7d_v2,收款方: 近7天人数 / 近360天人数,交易行为,支付交易行为特征
153,loancntall,same_device_info_differ_regmobile_last30_cnt_plampay,same_device_info_differ_regmobile_last30_cnt_plampay,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.same_device_info_differ_regmobile_last30_cnt_plampay,,,
154,loancntall,days_since_last_apply_all,days_since_last_apply_all,t7,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,,最近一次申请(任意)距今天数,授信申请,申请行为特征
155,loancntall,payee_unique_hours_active_15d_v2,payee_unique_hours_active_15d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,"收款方: 过去15天 [T-16, T-2] 活跃小时数",交易行为,支付交易行为特征
156,loancntall,cus_all_product_curr_overdue_cnt,cus_all_product_curr_overdue_cnt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.cus_all_product_curr_overdue_cnt,CUSALLproduct当前逾期次数,逾期催收,逾期表现特征
157,loancntall,short_cycle_inflow_ratio_t1_v2,short_cycle_inflow_ratio_t1_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,短期回流占比: T-1短期回流入金 / T-1总入金,交易行为,支付交易行为特征
158,loancntall,max_od_days_60d_79,max_od_days_60d_79,t8,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,$.max_od_days_60d_79,产品79: 近60天最大逾期天数,逾期催收,逾期表现特征
159,loancntall,press_90d_t7,press_90d_t7,t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,$.press_90d_t7,近90天：t7单位还款压力,账户状态,额度使用与账户余额特征
160,loancntall,press_7d_all,press_7d_all,t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,,近7天：all单位还款压力,账户状态,额度使用与账户余额特征
161,loancntall,ng_same_bvn_max_cur_overdue_day_cash_rt,ng_same_bvn_max_cur_overdue_day_cash_rt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_same_bvn_max_cur_overdue_day_cash_rt,尼日利亚相同BVN最大当前逾期天Cash实时,逾期催收,逾期表现特征
162,loancntall,util_90d_sumratio_all,util_90d_sumratio_all,t6,pb_biz_credit.keep_jch_ng_cid_util_feature_final,pb_biz_credit.keep_jch_ng_cid_util_feature_final,$.util_90d_sumratio_all,近90天：all整体util（sumratio）,账户状态,额度使用与账户余额特征
163,loancntall,payee_unique_payer_count_360d_v2,payee_unique_payer_count_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payee_unique_payer_count_360d_v2,"收款方: 过去360天 [T-361, T-2] 独立付款人数",交易行为,支付交易行为特征
164,loancntall,ng_td_witld_amt_in_bi_rt,ng_td_witld_amt_in_bi_rt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_td_witld_amt_in_bi_rt,当天天账单代扣金额最大值,还款履约,还款计划与账单流水特征
165,loancntall,cust_last2_overdue_days,cust_last2_overdue_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.cust_last2_overdue_days,客户最近第二笔借据最大逾期,逾期催收,逾期表现特征
166,loancntall,trans_cnt,trans_cnt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.trans_cnt,交易次数,交易行为,支付交易行为特征
167,loancntall,ng_pdl_is_first_order,ng_pdl_is_first_order,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_pdl_is_first_order,当前交易是PDL的第几笔,还款履约,还款计划与账单流水特征
168,loancntall,ng_la3times_quota_use_ratio_cash_avg_rt,ng_la3times_quota_use_ratio_cash_avg_rt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_la3times_quota_use_ratio_cash_avg_rt,最近3次额度使用率平均值,账户状态,授信额度特征
169,loancntall,withdraw_apply_total_cnt,withdraw_apply_total_cnt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.withdraw_apply_total_cnt,提现申请总次数,账户状态,额度使用与账户余额特征
170,loancntall,cust_tier,cust_tier,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.cust_tier,,,
171,loancntall,min_pass_verify_days,min_pass_verify_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.min_pass_verify_days,最早手机验证成功距今天数,授信申请,申请行为特征
172,loancntall,first_pay_days,first_pay_days,t5,pb_biz_credit.ng_customer_pay_plan_flow_feas,pb_biz_credit.ng_customer_pay_plan_flow_feas,,最早一次还款距今天数,还款履约,还款计划与账单流水特征
173,loancntall,n_cust_last1_overdue_days,n_cust_last1_overdue_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,,,
174,loancntall,ng_same_ipaddress_card_cnt_cash_rt,ng_same_ipaddress_card_cnt_cash_rt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_same_ipaddress_card_cnt_cash_rt,IP地址对应授信成功LOAN账户数,外部数据,多头查询与多证件关联特征
175,loancntall,payee_avg_txn_per_payer_shift_7d_vs_360d_v2,payee_avg_txn_per_payer_shift_7d_vs_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payee_avg_txn_per_payer_shift_7d_vs_360d_v2,收款方: (近7天人均笔数) - (近360天人均笔数) 漂移,交易行为,支付交易行为特征
176,loancntall,same_device_info_differ_regmobile_total_cnt_plampay,same_device_info_differ_regmobile_total_cnt_plampay,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.same_device_info_differ_regmobile_total_cnt_plampay,用户当前imei被多少人使用,外部数据,多头查询与多证件关联特征
177,loancntall,early_ratio_due_180d_t79,early_ratio_due_180d_t79,t2,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,$.early_ratio_due_180d_t79,79类账户：近180天提前还款占比(提前期数/应还期数),还款履约,实际还款行为特征
178,loancntall,days_since_first_apply_type9,days_since_first_apply_type9,t7,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,,最早一次申请产品类型9距今天数,授信申请,申请行为特征
179,loancntall,ng_cash_total_duedate_repay_cnt_rt,ng_cash_total_duedate_repay_cnt_rt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_cash_total_duedate_repay_cnt_rt,客户出账日准时结清账单数,还款履约,实际还款行为特征
180,loancntall,diff_balance_all_15days,diff_balance_all_15days,t11,pb_biz_credit.ng_pp_user_financial_feature_profile_di,pb_biz_credit.ng_pp_user_financial_feature_profile_di,$.diff_balance_all_15days,总余额对比15天前净增额,授信申请,收入与财务画像特征
181,loancntall,ng_faceid_max_overdue_days_emi,ng_faceid_max_overdue_days_emi,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_faceid_max_overdue_days_emi,尼日利亚faceid最大逾期天数EMI,逾期催收,逾期表现特征
182,loancntall,payee_txn_per_day_15d_v2,payee_txn_per_day_15d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payee_txn_per_day_15d_v2,"收款方: 过去15天 [T-16, T-2] 日均收款笔数 (用首T-2至今T-2天数做分母)",交易行为,支付交易行为特征
183,loancntall,days_since_last_apply_type7,days_since_last_apply_type7,t7,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,,最近一次申请产品类型7距今天数,授信申请,申请行为特征
184,loancntall,avg_diff_days_180d_t79,avg_diff_days_180d_t79,t2,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,$.avg_diff_days_180d_t79,79类账户：近180天平均应还日-实际还款日(天),还款履约,实际还款行为特征
185,loancntall,press_over_quota_90d_all,press_over_quota_90d_all,t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,$.press_over_quota_90d_all,近90天：all压力/额度,账户状态,额度使用与账户余额特征
186,loancntall,payer_start_of_month_amount_ratio_360d_v2,payer_start_of_month_amount_ratio_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,付款方: 近360天 月初付款金额 / 总金额,交易行为,支付交易行为特征
187,loancntall,p80_total_finsave_amt_d90,p80_total_finsave_amt_d90,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.p80_total_finsave_amt_d90,近90天80分位理财金额,授信申请,收入与财务画像特征
188,loancntall,max_util_7d_all,max_util_7d_all,t6,pb_biz_credit.keep_jch_ng_cid_util_feature_final,pb_biz_credit.keep_jch_ng_cid_util_feature_final,$.max_util_7d_all,近7天：all单笔util最大值,账户状态,额度使用与账户余额特征
189,loancntall,payer_recent_360_txn_share_7d_v2,payer_recent_360_txn_share_7d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payer_recent_360_txn_share_7d_v2,付款方: 近7天笔数 / 近360天笔数,交易行为,支付交易行为特征
190,loancntall,fail_txn_ratio_15d_v2,fail_txn_ratio_15d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.fail_txn_ratio_15d_v2,近15天失败率(失败/总尝试),交易行为,支付交易行为特征
191,loancntall,concat_last_most_type_30d,concat_last_most_type_30d,t7,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,,最近一次贷款类型与近30天最多申请类型组合,授信申请,申请行为特征
192,loancntall,pay_100up_cnt,pay_100up_cnt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pay_100up_cnt,实际付款超过订单总金额的数量,交易行为,支付交易行为特征
193,loancntall,payee_success_rate_180d_v2,payee_success_rate_180d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payee_success_rate_180d_v2,收款方: 近180天交易成功率(1/(1+2+7)),交易行为,支付交易行为特征
194,loancntall,payer_unique_payee_count_60d_v2,payer_unique_payee_count_60d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payer_unique_payee_count_60d_v2,"付款方: 过去60天 [T-61, T-2] 独立收款人数",交易行为,支付交易行为特征
195,loancntall,num_connect_user_device,num_connect_user_device,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.num_connect_user_device,,,
196,loancntall,num_device_log_7day,num_device_log_7day,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.num_device_log_7day,,,
197,loancntall,phone_system,phone_system,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.phone_system,设备信息systemtype,授信申请,移动设备与APP画像特征
198,loancntall,payer_repay_cnt_15d_v2,payer_repay_cnt_15d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payer_repay_cnt_15d_v2,"类别: 过去15天 [T-16, T-2] 还款(j7,g7)笔数",交易行为,支付交易行为特征
199,loancntall,payee_start_of_month_amount_ratio_30d_v2,payee_start_of_month_amount_ratio_30d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,收款方: 近30天 月初收款金额 / 总金额,交易行为,支付交易行为特征
200,loancntall,ng_applist_small_1000_b_ratio10_30_days_update_sum_rt,ng_applist_small_1000_b_ratio10_30_days_update_sum_rt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_applist_small_1000_b_ratio10_30_days_update_sum_rt,近30天更新的低逾期app的pd10的总和,逾期催收,逾期表现特征
201,loancntall,approval_result1,approval_result1,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.approval_result1,approvalresult1,授信申请,申请行为特征
202,loancntall,last3_od_days_79,last3_od_days_79,t8,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,$.last3_od_days_79,产品79: 最近第3笔贷款最大逾期天数（7+9合并）,逾期催收,逾期表现特征
203,loancntall,payee_recent_180_payer_share_15d_v2,payee_recent_180_payer_share_15d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,收款方: 近15天人数 / 近180天人数,交易行为,支付交易行为特征
204,loancntall,pp_nibssfund_days_3d,pp_nibssfund_days_3d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pp_nibssfund_days_3d,PP近3天nibss入金天数,交易行为,支付交易行为特征
205,loancntall,payer_recent_180_amount_share_7d_v2,payer_recent_180_amount_share_7d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,付款方: 近7天金额 / 近180天金额,交易行为,支付交易行为特征
206,loancntall,total_performing_facility_ratio,total_performing_facility_ratio,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.total_performing_facility_ratio,衍生：结清账户占比,外部数据,征信/CRC报告特征
207,loancntall,p50_balance_amt_d30,p50_balance_amt_d30,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.p50_balance_amt_d30,近30天个人账户余额中位数,账户状态,额度使用与账户余额特征
208,loancntall,phone_width,phone_width,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.phone_width,手机屏幕宽度,通用技术,主键标识与时间分区字段
209,loancntall,bus_application_gps_address_detail,bus_application_gps_address_detail,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.bus_application_gps_address_detail,具体明细（gps上报解析）,授信申请,地理位置与居住工作地特征
210,loancntall,total_daily_vam_3d,total_daily_vam_3d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.total_daily_vam_3d,近3天平均交易额,交易行为,支付交易行为特征
211,loancntall,cv_util_30d_all,cv_util_30d_all,t6,pb_biz_credit.keep_jch_ng_cid_util_feature_final,pb_biz_credit.keep_jch_ng_cid_util_feature_final,$.cv_util_30d_all,近30天：all util变异系数,账户状态,额度使用与账户余额特征
212,loancntall,bvn_cnt_15d_div_90d,bvn_cnt_15d_div_90d,t9,pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final,pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final,,近15天/近90天 BVN查询次数比,外部数据,多头查询与多证件关联特征
